# Wall shear stress
# Time        	patch         	min           	max           
0.5           	upperWall	(-2.950214e-04 -8.512223e-20 -1.434140e-05)	(7.767010e-05 1.762225e-19 1.091349e-04)
0.5           	lowerWall	(-1.473391e-03 -1.871405e-19 -3.290658e-03)	(1.412144e-03 4.808369e-19 3.861321e-04)
1             	upperWall	(-3.300984e-04 -8.573794e-20 -2.211700e-05)	(7.949791e-05 1.107032e-19 8.085680e-05)
1             	lowerWall	(-1.301455e-03 -8.596474e-19 -5.184483e-03)	(1.791679e-03 2.111198e-19 8.333983e-04)
1.5           	upperWall	(-3.129706e-04 -7.728740e-20 -3.809169e-05)	(9.827994e-05 1.062292e-19 8.645715e-05)
1.5           	lowerWall	(-1.303272e-03 -8.911387e-19 -6.456951e-03)	(1.554272e-03 3.462057e-19 8.275531e-04)
2             	upperWall	(-3.215126e-04 -8.433672e-20 -4.644742e-05)	(1.091179e-04 1.065405e-19 9.323008e-05)
2             	lowerWall	(-1.306155e-03 -1.051333e-18 -6.984774e-03)	(1.408237e-03 2.966695e-19 1.326814e-03)
2.5           	upperWall	(-3.137960e-04 -9.590257e-20 -4.875891e-05)	(1.609510e-04 1.165197e-19 9.083147e-05)
2.5           	lowerWall	(-1.467183e-03 -1.187922e-18 -5.941307e-03)	(4.855940e-03 7.212102e-19 1.484472e-02)
3             	upperWall	(-4.046411e-04 -1.129136e-19 -4.857959e-05)	(1.914612e-04 1.295574e-19 8.932897e-05)
3             	lowerWall	(-1.771505e-03 -1.348846e-18 -5.973695e-03)	(3.277351e-03 4.612249e-19 5.715531e-03)
3.5           	upperWall	(-6.006253e-04 -1.379426e-19 -5.212406e-05)	(1.917501e-04 1.503345e-19 6.677344e-05)
3.5           	lowerWall	(-1.755268e-03 -1.632130e-18 -6.186656e-03)	(3.242309e-03 3.539642e-19 5.089841e-03)
4             	upperWall	(-9.276697e-04 -1.230514e-18 -5.958344e-05)	(2.146480e-04 1.785286e-19 8.141524e-05)
4             	lowerWall	(-1.477048e-03 -1.812517e-18 -6.355663e-03)	(3.785542e-03 6.199080e-19 5.165301e-03)
4.5           	upperWall	(-1.410763e-03 -2.224299e-19 -7.750967e-05)	(2.314204e-04 2.488551e-19 1.226113e-04)
4.5           	lowerWall	(-1.310138e-03 -1.899744e-18 -6.377771e-03)	(3.679408e-03 3.356852e-19 5.383007e-03)
5             	upperWall	(-2.049656e-03 -3.219157e-19 -7.519434e-05)	(2.428561e-04 3.836995e-19 1.400821e-04)
